"area","prefecture","place","img","tag","prefecture_ranking","status_date","status","開花予想日","五分咲き","満開","桜吹雪","見どころ紹介","lat","long","homepage","source_url","例年の見頃","桜の種類","桜の本数","名所に関する情報","お花見期間中の混雑度","所在地","入場時間","入場料","お問い合わせ","交通案内","周辺の観光施設","ライトアップ","桜まつり詳細","おすすめ写真スポット"
"北海道","道央","北海道神宮","https://smtgvs.cdn.weathernews.jp/smart/report/image/2024-04-26/83425438.jpg","桜並木","3","1月29日","つぼみ","4月21日","4月24日","4月25日","4月28日","境内にはエゾヤマザクラ、ソメイヨシノ、ヤエザクラが咲きます。その他、梅林があり、開花の時期には露店も出ます。例年、車の大渋滞となりますので、公共交通機関をお勧めします。","43.0545","141.3075","http://www.hokkaidojingu.or.jp","https://weathernews.jp/sakura/spot/4/","5月上旬","エゾヤマザクラ","1000本","桜並木","平日：大変混雑
休日：大変混雑","〒064-0959
北海道札幌市中央区宮ヶ丘474","4月下旬〜5月中旬(9:00〜20:00)","無料","北海道神宮(9:00〜17:00)
TEL:011-611-0261","電車
地下鉄東西線円山公園駅より徒歩
15分
車
札樽道新川ICより
30分
駐車場
約200台(参拝者は1時間まで無料、以降1時間毎500円)※参拝者駐車場の為、ご祈祷、結婚式参列者を優先致しますのでご了承下さい。混雑が予想されますので、公共交通機関をご利用下さい。","大倉山ジャンプ場、札幌市円山動物公園","","",""
"北海道","道南","五稜郭公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2025-05-16/97277721.jpg","夜桜, 桜並木, ペットOK, ライトアップあり","1","4月1日","つぼみ","4月16日","4月19日","4月20日","4月26日","堀の周りや郭内には約1500本のソメイヨシノやヤエザクラが咲き誇ります。","41.7970","140.7567","http://www.hakodate-jts-kosya.jp/park/p_goryokaku.html","https://weathernews.jp/sakura/spot/2/","4月下旬～5月上旬","ソメイヨシノ","約1500本","夜桜
桜並木
ペットOK
ライトアップあり","平日：混雑
休日：大変混雑","〒040-0001
北海道函館市五稜郭町44","常時開放、※郭内は5:00〜19:00(4〜10月)、5:00〜18:00(11〜3月)","無料","五稜郭公園管理事務所
TEL:0138-31-5505","電車
JR函館本線函館駅より
17分
市電五稜郭公園前下車、徒歩約
15分
車
函館新外環状道路赤川ICより
15分
駐車場
近隣に有料駐車場あり。函館市五稜郭観光駐車場97台(1時間まで200円、30分毎100円加算)","五稜郭タワー、箱館奉行所(五稜郭公園内)※両施設とも公園管理とは別会社のため詳細確認は個別にお問い合わせください。","4月19日～5月6日　19:00〜21:00","花見期間（ライトアップ・バーベキュー可の期間）は函館市が決定いたしますので詳細については函館市のHPにてご確認ください。",""
"北海道","道南","函館公園","https://gvs.weathernews.jp/s/sakura/szyimg/2026/23001/1766559740_s.webp?tm=1775113776","夜桜, 桜まつり開催, 宴会OK, ライトアップあり","5","4月1日","つぼみ","4月16日","4月19日","4月20日","4月26日","函館山を背景に園内の「明治山」から津軽海峡を一望でき、園内には約360本の桜が一斉に咲き誇ります。","41.7560","140.7159","https://www.hakodate-jts-kosya.jp/green/kaika_kouyou","https://weathernews.jp/sakura/spot/23001/","4月下旬～5月上旬","ソメイヨシノ、ヤエザクラ他","約360本","夜桜
桜まつり開催
宴会OK
ライトアップあり","平日：混雑
休日：大変混雑","〒040-0044
北海道函館市青柳町17","通年開園　動物施設4月～10月8:45～17:00　11月～3月8:45～16:00　ビジターセンター8:45～17:30　動物施設定休日12/29～1/3","無料","函館市住宅都市施設公社　西部公園事務所
TEL:0138-22-6789","電車
JR函館駅より函館バス53系統で約10分。「函館公園」下車 徒歩1分
JR函館駅より市電2系統で約10分。「青柳町」下車 徒歩3分
車
函館江差自動車道 函館ICより約30分
駐車場
4台(無料)　※障がい者用のみ4台(無料)","函館山、函館元町、金森赤レンガ倉庫群","あり","函館市が定めた花見期間は露店や電飾が施されます。",""
"北海道","道南","二十間道路桜並木","https://smtgvs.cdn.weathernews.jp/smart/report/image/2024-04-28/83489712.jpg","さくら名所100選, 桜まつり開催, 桜並木","2","4月2日","つぼみ","4月19日","4月22日","4月23日","4月26日","2000本を超える桜が直線7kmの道路の両面に咲き誇る「二十間道路桜並木」。現在は、「日本の道百選」や「さくら名所100選」、「北海道遺産」などに選定され、日本屈指の桜の名所として多くの人から親しまれています。桜の開花に合わせ、開催されるしずない桜まつりでは、町内事業者により期間中のみ出店が行われます。(会場はペットの連れ歩き禁止となっております。)","42.3859","142.4225","http://www.shinhidaka-hokkaido.jp/hotnews/detail/00000170.html","https://weathernews.jp/sakura/spot/3/","4月下旬～5月上旬","エゾヤマザクラ","約2000本","さくら名所100選
桜まつり開催
桜並木","平日：混雑
休日：大変混雑","〒056-0144
北海道日高郡新ひだか町静内田原〜静内御園","制限なし","無料","新ひだか町観光情報センターぽっぽ／新ひだか町総務部まちづくり推進課
TEL:0146-42-1000／0146-49-0294","車
日高道日高厚賀ICよりR235経由
45分
駐車場
約650台","ライディングヒルズ静内(乗馬商業施設)二十間道路桜並木より車で約20分","","しずない桜まつり(4月下旬〜5月上旬、桜の開花状況により変動あり)　※3月下旬～4月上旬に確定します。",""
"北海道","道央","円山公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2024-04-22/83290535.jpg","駅チカ","4","1月29日","つぼみ","","","","","円山原始林の北側に位置する公園です。隣接する北海道神宮境内とともに古くから市民に親しまれている桜の名所です。公園内にはエゾヤマザクラ、ソメイヨシノなど約120本あります。のんびりと散策するのもおすすめです。","43.0547","141.3139","http://maruyamapark.jp/","https://weathernews.jp/sakura/spot/14001/","4月下旬～5月上旬","エゾヤマザクラ、ソメイヨシノ","約120本","駅近","平日：混雑
休日：大変混雑","〒064-0959
北海道札幌市中央区宮ヶ丘3","24時間","","円山公園管理事務所
TEL:011-621-0453","電車
地下鉄東西線円山公園駅から徒歩約5分
5分
車
札樽道札幌西ICから約
20分
駐車場
なし","北海道神宮、円山動物園","","",""
"北海道","道南","松前公園(ナデン)","https://gvs.weathernews.jp/s/sakura/szyimg/2026/1/1768289541_s.webp?tm=1775113776","さくら名所100選, 夜桜, 桜まつり開催, 桜並木, ペットOK, ライトアップあり","6","3月31日","つぼみ","4月16日","4月20日","4月22日","4月28日","松前公園は「日本さくら名所100選」に認定されており、春になると約250品種1万本の桜が早・中・遅咲きと開花リレーを繰り広げ、1ヶ月間花見を楽しめる。","41.4299","140.1089","https://travel-matsumae.jp/","https://weathernews.jp/sakura/spot/1/","４月下旬","ナデン(南殿)","約1万本","さくら名所100選
夜桜
桜まつり開催
桜並木
ペットOK
ライトアップあり","平日：やや混雑
休日：大変混雑","〒049-1511
北海道松前郡松前町字松城(松前公園内)","制限なし","無料","（一社）北海道まつまえ観光物産協会
TEL:0139-42-2726","電車
JR木古内駅よりバスで約90分松城下車、松前公園入口まで徒歩
7分
車
函館市内よりR228号経由
120分
駐車場
さくらまつり期間中のみ有料500円","松前城資料館、松前藩屋敷、松前郷土資料館","開花に合わせて桜ライトアップの実施予定あり","松前さくらまつり開催時期：2026年4月18日(土)～5月10日(日)","松前城天守閣と桜、お堀に映る天守閣と桜、夜桜のライトアップ、園内各所の色や花弁枚数の異なる桜との共演"
"北海道","道央","中島公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2025-05-05/96902449.jpg","桜並木, 駅チカ, ペットOK","8","1月29日","つぼみ","","","","","","43.0465","141.3531","","https://weathernews.jp/sakura/spot/23010/","4月下旬～5月上旬","ソメイヨシノ、エゾヤマザクラ、シダレザクラ","400本程度","桜並木
駅近
ペットOK","平日：やや混雑
休日：混雑","〒0640931
札幌市中央区中島公園1","年中無休","無料(園内各施設は別途問い合わせ)","中島公園管理事務所
TEL:011-511-3924","電車
地下鉄南北線『中島公園駅』下車　1・3番出口
0分
地下鉄南北線『幌平橋駅』下車　1・2番出口
0分
駐車場
なし","","","",""
"北海道","道南","松前公園(ソメイヨシノ)","https://gvs.weathernews.jp/s/sakura/szyimg/2026/2304/1768289544_s.webp?tm=1775113776","さくら名所100選, 夜桜, 桜まつり開催, 桜並木, 宴会OK","7","3月31日","つぼみ","4月14日","4月18日","4月19日","4月26日","松前公園は「日本さくら名所100選」に認定されており、春になると約250品種1万本の桜が早・中・遅咲きと開花リレーを繰り広げ、1ヶ月間花見を楽しめる。","41.4299","140.1089","https://travel-matsumae.jp/","https://weathernews.jp/sakura/spot/2304/","5月上旬","ソメイヨシノ(染井吉野)","約1万本","さくら名所100選
夜桜
桜まつり開催
桜並木
宴会OK","平日：やや混雑
休日：大変混雑","〒049-1511
北海道松前郡松前町字松城(松前公園内)","制限なし","無料","（一社）北海道まつまえ観光物産協会
TEL:0139-42-2726","電車
JR木古内駅よりバスで約90分松城下車、松前公園入口まで徒歩
7分
車
函館市内よりR228号経由
120分
駐車場
さくらまつり期間中のみ有料500円","松前城資料館、松前藩屋敷、松前郷土資料館","","松前さくらまつり開催時期：2026年4月18日(土)～5月10日(日)","松前城天守閣と桜、お堀に映る天守閣と桜、夜桜のライトアップ、園内各所の色や花弁枚数の異なる桜との共演"
"北海道","道央","小樽公園","https://smtgvs.cdn.weathernews.jp/smart/report/image/2023-04-30/72006146.jpg","","9","1月29日","つぼみ","4月20日","4月24日","4月24日","4月29日","桜のほかにも、市の花に指定されているツツジが数多く咲くことで知られる公園。4月下旬から5月上旬が見ごろで、エゾヤマザクラやソメイヨシノなどが約600本咲きます。","43.1870","140.9926","","https://weathernews.jp/sakura/spot/23002/","4月下旬～5月上旬","ソメイヨシノ、エゾヤマザクラ、ヤエザクラなど","約600本","","平日：空いている
休日：やや混雑","〒047-0024
北海道小樽市花園5丁目","24時間","なし(自由散策)","小樽市建設部建設事業室公園緑地課
TEL:0134-32-4111","電車
JR小樽駅から徒歩
20分
車
札樽自動車道小樽ICから約
10分
駐車場
230台　無料","","","イベントは行われません。",""
"北海道","道央","大通公園","https://gvs.weathernews.jp/s/sakura/szyimg/2026/14006/1766716821_s.webp?tm=1775113776","駅チカ","10","1月29日","つぼみ","","","","","西6丁目南側が見どころになります。西6丁目北側では、エゾヤマザクラ、キタコブシ、レンギョウの開花時期が重なるため、ピンク、白、黄色の花が色とりどりに見ごろを迎えます。また、西7丁目にはエゾヤマザクラの他に、サトザクラ、ソメイヨシノ、ミヤマザクラ等、時期をずらして色々な桜が咲くのもみどころです。","43.0608","141.3544","https://odori-park.jp","https://weathernews.jp/sakura/spot/14006/","4月中旬～5月上旬","エゾヤマザクラ","約20本","駅近","平日：空いている
休日：やや混雑","〒060-0042
北海道札幌市中央区大通西1〜12丁目","制限なし","無料","大通公園管理事務所
TEL:011-251-0438","電車
地下鉄「大通駅」下車すぐ
駐車場
なし","札幌市時計台、さっぽろテレビ塔、札幌市資料館","","令和8年度、園内の桜をメインにしたガイドツアーを開催予定です。詳細はお問い合わせください。","西6丁目、西7丁目"
